name,address,city,country,phone,email,star_rating,property_type,price_per_night,image_url,amenities,description
Akara Bangkok,"SEA LIFE Bangkok Ocean World, Bangkok",Bangkok,Thailand,+1 000-555-1044,reservations@akara-bangkok.example.com,5,HOTEL,62,https://photos.hotelbeds.com/giata/original/62/629228/629228a_hb_p_017.JPG,Breakfast|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Bar,"Refined quarters in a high-end hotel offering a rooftop pool & a bar, plus 2 polished restaurants."
Avani+ Riverside Bangkok Hotel,"Asiatique The Riverfront, Bangkok",Bangkok,Thailand,+1 000-555-1045,reservations@avani-riverside-bangkok-hotel.example.com,5,HOTEL,112,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFUM6K3K4boFPXR4tLJQKLVRTA5Bl3QEiH0VQbj6KIpfw8goW8qmZYSLdJ8OBmVTuHDso3m_e4nbvhZM8gvb2HIuknmVDf00KF3K7RB2WfhyS-sicMiwSReNgSiHTMV94J4f17Fnw=s10000,Breakfast|Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Sleek hotel with river views, offering bars & a rooftop pool, plus a spa & elegant dining."
Pullman Bangkok Hotel G,"MahaNakhon, Bangkok",Bangkok,Thailand,+1 000-555-1046,reservations@pullman-bangkok-hotel-g.example.com,5,HOTEL,68,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqjRa-mcZlnMjUQkJ88UN0tUsR5Mr6VTDJmP4crbeyVDpo9-pDiqjjZ6fqNd_-ojcgYGyxhESaGHCqHIkZ-420e3UqOvGRd-P4zLKVyp91OFRvh7jXwMOFMnqAY32-OHjGqfuK=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Spa|Bar,"Chic hotel offering 3 restaurants & 2 hip bars, as well as massages, a gym & an outdoor pool."
Siam Bright Suite,"Suvarnabhumi Airport, Bangkok",Bangkok,Thailand,+1 000-555-1047,reservations@siam-bright-suite.example.com,5,APARTMENT,36,https://media.vrbo.com/lodging/39000000/38780000/38774700/38774650/8d2b928e.jpg,Air conditioning|Balcony|Elevator|Kitchen|Microwave|Oven stove|Washer|Wheelchair accessible,A 5-star vacation rental in Bangkok with easy access to the city's top attractions.
The Berkeley Hotel Pratunam,"centralwOrld, Bangkok",Bangkok,Thailand,+1 000-555-1048,reservations@the-berkeley-hotel-pratunam.example.com,5,HOTEL,74,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3VePCpHntAzR2jZDLMT09LdeI-FHfkX0Q4qKijbh_dGTyPc3jS0lGFLSj3n6gtCnUXQu7ZL_7uqMxx9617wBAxu1VqYF80z7POV7mta3jASsTmRrLewCgS8d8HbIj_dKd9kKADA=s10000,Breakfast|Free Wi-Fi|Parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Colorful rooms & suites in a contemporary hotel with eclectic dining, a spa & a rooftop pool."
"Mandarin Hotel Bangkok, managed by Centre Point","Chinatown Bangkok, Bangkok",Bangkok,Thailand,+1 000-555-1049,reservations@mandarin-hotel-bangkok-managed-by-centre-point.example.com,4,HOTEL,49,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAGDuFXbr5D-rIoW6S1T9Wnoszh46ziVrsOEa68F3Dk9nzu5GHzhJflRX3HR8MS8-clB4xVX0ij5CLu_JJjrM8kjfEqbnvpj5VMG2WAJ8vEWsGkQvOn4yApmlCYTwUGmb2WEbSWxKMyvBH=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Spa|Restaurant,"Bright rooms & suites with city views in an informal hotel offering a spa, a pool & 2 restaurants."
Warm Window Silom,"Lumphini Park, Bangkok",Bangkok,Thailand,+1 000-555-1050,reservations@warm-window-silom.example.com,2,HOTEL,15,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhPhdu7pYdPDpjbrroN7XpFE6XcbW_tQgpnA6bsrVXdh6S9TLyzPluN1otlMwsy8IVNLFGjpOsrjqwWj605Vc_cAbv1y3eTf2JLNMBHFuHn_Mg9H7_Dz_oQW6pFInvp_0zy_Ol=s10000,Free Wi-Fi|Air conditioning|Restaurant|Full-service laundry,"Casual hostel featuring breakfast, lounges & a communal kitchen, plus a rooftop terrace."
Mai Morn Resort,"Meuang Thong Circle, Phuket",Phuket,Thailand,+1 000-555-1051,reservations@mai-morn-resort.example.com,4,HOTEL,18,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcU5m2ASbMsayXx7TLFH2o4hGO4BlPLZQqI26bgPTgLlxaP8vLLERK73lSkrHfBKnPfmRzdbDrg7hnZIR3agR6eqAsXqryg4_iQy5xJykzQwt2uoVsttiazYaB96DYOH4T1ZrF=s10000,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Bar|Restaurant|Airport shuttle,A 4-star hotel in Phuket with easy access to the city's top attractions.
Novotel Phuket City Phokeethra,"Expo Phuket, Phuket",Phuket,Thailand,+1 000-555-1052,reservations@novotel-phuket-city-phokeethra.example.com,5,HOTEL,65,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE8lInyr0MBPDtCStLR_M19hBVkI1MXR4GxI_--YIFFFbnOHPiyGBezoupkcn8370eLM24KkiCSPxDy2f7CA5P33VB_KQk3HDn1hC4JN21RUpcs-EBvEaYUgcTYfccnXJUHlRfqrEgC90HC=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Spa|Bar,"Sleek quarters in a refined hotel offering a restaurant, 2 bars & an outdoor pool, plus sea views."
HOMA Phuket Town,"Chillva Market, Phuket",Phuket,Thailand,+1 000-555-1053,reservations@homa-phuket-town.example.com,4,HOTEL,39,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAIZMwGaTkH1BGxS2JAG69vw9ZTePTEWWopMzzsOX5M7BeIpOyTtIfnszrze31C6VUR-ucQKqa93r-j5zePB_DT5Y2Qh9DVAQij3kdHuvPZjscQ1geGErENMASIE056cT1SXC3PRpJEal-=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Pet-friendly|Fitness center,A 4-star hotel in Phuket with easy access to the city's top attractions.
Ibis Styles Phuket City,"Mc Donald's, Phuket",Phuket,Thailand,+1 000-555-1054,reservations@ibis-styles-phuket-city.example.com,3,HOTEL,36,https://lh3.googleusercontent.com/gps-cs-s/APNQkAESEup47G918Tbv9n9i_fJt_uGQtysXLgKUX0r_9fFaig3-ZKICM6vsQE0HOHCo9ZSUobeHrO9Nkn04GpmzyVvircErGlmPU_TyetVDhDjgmn_FtQdzb9ED8JADv_58ouk7AdTYnw=s10000,Free breakfast|Free Wi-Fi|Free parking|Air conditioning|Fitness center|Bar|Restaurant|Room service,"Relaxed rooms & suites in a laid-back hotel offering dining, plus free breakfast, Wi-Fi & parking."
Bedline Hotel,"Phuket Old Town Sunday Night Market Walking Street, Phuket",Phuket,Thailand,+1 000-555-1055,reservations@bedline-hotel.example.com,3,HOTEL,25,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFffdXpXRneHF5paKTYGWkz6e_B_Unpirj0cdn3xp0N99rmXihDm__MXra95QwStYggtL56JnXXJHwE7AeKYlzUOAp7h3aZfK4tuEN2G4CYdJSF-o_-zKHxPCzFVgxkseLs3JHh=s10000,Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Restaurant,"Contemporary rooms in a relaxed hotel offering a coffee shop & a bar, plus an outdoor pool."
Courtyard by Marriott Phuket Town,"Pearl Hotel Phuket, Phuket",Phuket,Thailand,+1 000-555-1056,reservations@courtyard-by-marriott-phuket-town.example.com,4,HOTEL,96,https://photos.hotelbeds.com/giata/original/07/079223/079223a_hb_p_004.jpg,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Bar|Restaurant,"Contemporary hotel with a chic restaurant & a lobby bar, plus an outdoor pool & a fitness center."
EcoLoft Hotel,"Royal Phuket City Hotel, Phuket",Phuket,Thailand,+1 000-555-1057,reservations@ecoloft-hotel.example.com,3,HOTEL,30,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGc40lxSTnqRnsk95PReY6PsIVm87HUEZy9SzzyL3U1sZ50m6ukD5OxJMg6UZrfdLRUxtrP6smQVijWvRHqS2srlCiMaMGjmHBrHnQDxn0vuKA45ypEGlq8ilkSa_5a0f1x569z=s10000,Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Restaurant|Airport shuttle|Accessible|Kid-friendly,"Streamlined rooms in a relaxed hotel featuring a rooftop pool with city views, plus free parking."
Blu Monkey Hub & Hotel Phuket,"Phuket Old Town Sunday Night Market Walking Street, Phuket",Phuket,Thailand,+1 000-555-1058,reservations@blu-monkey-hub-hotel-phuket.example.com,4,HOTEL,38,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6yRgRKulcLiLhaRAIw70lYj8dv_FH0LoPMqAB43-DSgf-TlPBgqBHRkdT3wPOD3vnnFbKU4Vqf08JrLsd9BxD-kpcXiV3K_DcoaGi7_m_oexTroc88-L2iqq0bMyOkbfTnMlMdlOApH-B=s10000,Breakfast|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Restaurant|Full-service laundry|Accessible,Simply furnished rooms with balconies in a trendy hotel featuring an outdoor pool.
PRIME TOWN POSH & PORT HOTEL - PHUKET,"Phuket Old Town Sunday Night Market Walking Street, Phuket",Phuket,Thailand,+1 000-555-1059,reservations@prime-town-posh-port-hotel-phuket.example.com,4,HOTEL,22,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNo_XdHocdSP8NIU2aT4QcCrcF5GE96eZPvGXl95KhVhJfKN0t-kiFnmlxKztc0c9GxxKwXObAAXKfZcfgvmuLeLmmL0F0yHMnM431A4LfmK9JgEoXrprNdUJvTl5EQgY3J_I=s10000,Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|Restaurant|Full-service laundry,"Casual hotel offering streamlined quarters, plus a bar, an outdoor pool & a spa area."
Ratri Hotel Phuket Old Town,"Naka Weekend Market, Phuket",Phuket,Thailand,+1 000-555-1060,reservations@ratri-hotel-phuket-old-town.example.com,4,HOTEL,32,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7mNNyhjwvEihg8lgiYNlxjNUt6FRCqmLsVVOIuAbxfBwTPp3UIcZCNE8ZrdDUarhgTzPmfVJ_h1G0Nd5K2AGiDjDl5hHWufU7g_YpO5ReOr7rWKwjeKwupzagBlz1FsGXd3xdlw=s10000,Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Restaurant|Full-service laundry,A 4-star hotel in Phuket with easy access to the city's top attractions.
Hilton Garden Inn Tbilisi Riverview,"Narikala Fortress, Tbilisi",Tbilisi,Georgia,+1 000-555-1061,reservations@hilton-garden-inn-tbilisi-riverview.example.com,4,HOTEL,91,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRHnvjEkIM5lAyf55GpwjnPgoVQSx4YPKSYl7v66zOKvlTiA5fNXGNbJuOVAeJ-wqGvuDeQkWEfgkKn-4Hpbs55RDUPmVZnsO96CBSQh7dpw8DjLVqoxoRNXQZ8-yAbaACMREY=s10000,Breakfast ($)|Free Wi-Fi|Air conditioning|Pet-friendly|Fitness center|Bar|Restaurant|Room service,A 4-star hotel in Tbilisi with easy access to the city's top attractions.
The Biltmore Hotel Tbilisi,"Narikala Fortress, Tbilisi",Tbilisi,Georgia,+1 000-555-1062,reservations@the-biltmore-hotel-tbilisi.example.com,5,HOTEL,176,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZof6jUg0C_oAae_QGJkVi_sUn74Vs4S6sYadVuLBidPMXn8O0wJPT-P45r-eCJRVO2Xt06PJtcv3pES-2py_og8mx0fgG78vCBxKhVxEwFYaxbFGD2Zsb8x5j6iRJIw8N3gOu6g=s10000,Breakfast|Free Wi-Fi|Free parking|Pool|Hot tub|Air conditioning|Fitness center|Spa,"Refined hotel in a glass skyscraper with 2 upscale dining options & a 30th-floor bar, plus a spa."
Hotel Ambassadori,"The Clock Tower, Tbilisi",Tbilisi,Georgia,+1 000-555-1063,reservations@hotel-ambassadori.example.com,5,HOTEL,128,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFK0gXs3yj51S_Qz11T_FTbxpuGVTQ9Uij_u2CeXUJnLUwJFzynZeHE5WksnjS6BaB2ctgM5EWpI5J6CPvTfbNY16WKPfSJvO8KKfW2kJv_xS8uiZUoHk85VLxKF4ZdwxFHay8F=s10000,Free breakfast|Free Wi-Fi|Free parking|Indoor pool|Air conditioning|Fitness center|Spa|Bar,"Polished quarters in a swanky hotel offering a formal restaurant, a terrace cafe & a casino."
Kisi Hotel,"Chreli Abano, Tbilisi",Tbilisi,Georgia,+1 000-555-1064,reservations@kisi-hotel.example.com,4,HOTEL,83,https://photos.hotelbeds.com/giata/original/71/718016/718016a_hb_ro_008.jpg,Breakfast|Free Wi-Fi|Free parking|Air conditioning|Pet-friendly|Restaurant|Airport shuttle|Full-service laundry,"Chic hotel featuring breakfast & Wi-Fi, in addition to a trendy bar & a terrace."
"Radisson Blu Iveria Hotel, Tbilisi City Centre","Narikala Fortress, Tbilisi",Tbilisi,Georgia,+1 000-555-1065,reservations@radisson-blu-iveria-hotel-tbilisi-city-centre.example.com,5,HOTEL,219,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHx9lOuJ0-LU9V09tu2VooVELMGsTBXCgx1-ubmCsDI1x_AtgXOdubc7RJg5PBXKAaUujkJTMjKMAcA6tXyJ5iHLLDmTv7EFqjhjD3MyubpVJKjh652H9JxRwTgXPmAMsgOoXc=s10000,Breakfast ($)|Free Wi-Fi|Parking|Pools|Hot tub|Air conditioning|Fitness center|Spa,"Upscale hotel featuring sophisticated restaurants & bars, plus a spa, a casino & a shopping mall."
Tiflis Palace,"Chreli Abano, Tbilisi",Tbilisi,Georgia,+1 000-555-1066,reservations@tiflis-palace.example.com,4,HOTEL,92,https://cdn.worldota.net/t/1024x768/extranet/de/81/de81ba65f105976a8223ffcc755b7fb44593ae57.JPEG,Free breakfast|Free Wi-Fi|Free parking|Pool|Air conditioning|Bar|Restaurant|Room service,Refined rooms in an upscale hotel offering a restaurant & a rooftop bar overlooking the city.
Wyndham Grand Tbilisi,"Georgian National Museum, Tbilisi",Tbilisi,Georgia,+1 000-555-1067,reservations@wyndham-grand-tbilisi.example.com,5,HOTEL,194,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFiNHCgEKKY2GODVXpwn9WAHPy0wnY1zYlK2g9Njla0dvZT7QO0Epft8guyotCePkoOGrYPbeNYKKjDflOQ4q8WfuZynvR6Z4LL7oaZEkI_47-pGWdcJkIDnsOHUTzgR3Yw6FQMVhZhVr5h=s10000,Breakfast|Free Wi-Fi|Parking ($)|Pool|Hot tub|Air conditioning|Fitness center|Spa,"Warm quarters in a refined hotel with 2 restaurant/bars, plus a spa, a sauna & an indoor pool."
Old Tbilisi Terrace Hotel,"Chreli Abano, Tbilisi",Tbilisi,Georgia,+1 000-555-1068,reservations@old-tbilisi-terrace-hotel.example.com,3,HOTEL,28,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUAa-mCcjLmcxB8FqtkblNYh_uHC6RXn1SsC1pAZzcqcWv47vpaiqHXMrEvPmnuZv4Bpe1nMN2e5KE3gKFAyKuo8tNIw6mB6mNRwf8tSwe0YR56eyQDYeHWU0Jn006mLQrsAL8=s10000,Free Wi-Fi|Free parking|Air conditioning|Pet-friendly|Airport shuttle|Kid-friendly,A 3-star hotel in Tbilisi with easy access to the city's top attractions.
Tbilisi Marriott Hotel,"Georgian National Museum, Tbilisi",Tbilisi,Georgia,+1 000-555-1069,reservations@tbilisi-marriott-hotel.example.com,5,HOTEL,426,https://cdn.worldota.net/t/1024x768/extranet/8a/c2/8ac2ab0feb37ee3a33fa80965f9c90c1c54408ba.jpeg,Breakfast ($)|Wi-Fi ($)|Free parking|Air conditioning|Fitness center|Bar|Restaurant|Room service,"Polished lodging with warm rooms & suites, plus a stylish restaurant, a cocktail bar & a gym."
Holiday Inn Tbilisi,"Bridge of Peace, Tbilisi",Tbilisi,Georgia,+1 000-555-1070,reservations@holiday-inn-tbilisi.example.com,4,HOTEL,112,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4t_yLW5epsLU8SkwOYjKKMb8XZsA31PZQMPlSoDTAcvA2x6z5cNlVDr2cS6NKRDy7BKvv75qFGljmLF-5eg_F7FUVY78DjMPr0KKcxlC0Fk10DPie0w3iVIr7XxhHoC4T1q8x=s10000,Breakfast|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Pet-friendly|Fitness center|Spa,"Polished quarters, some with butler service & mountain views, in an upscale hotel offering a spa."
"Stunning Oceanfront View, Beach Access Balcony","Alexander Kartveli Batumi International Airport (BUS), Batumi",Batumi,Georgia,+1 000-555-1071,reservations@stunning-oceanfront-view-beach-access-balcony.example.com,5,APARTMENT,37,https://pix8.agoda.net/hotelImages/49932802/0/570c5f03cbf089570d64eea730896501.jpg?ce=0&s=312x,Air conditioning|Ironing board|Kitchen|Cable TV|Wheelchair accessible|Free parking|Free Wi-Fi,A 5-star vacation rental in Batumi with easy access to the city's top attractions.
Sheraton Batumi Hotel,"Batumi Central Park, Batumi",Batumi,Georgia,+1 000-555-1072,reservations@sheraton-batumi-hotel.example.com,5,HOTEL,300,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEHsUYDNdhDAkgZKoiE3CG8Flw7WWBr24Ve6Z6o9XQvRrDk1NbUGGzdgpMas_Lom3g_HQ0ypA-GeTIjhJpvggfnumxXBxML71o6Ci-buUSaoC8zytIYXjWWJt5MZIliSVdj6-YtiQ=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Pools|Hot tub|Air conditioning|Pet-friendly|Fitness center,"High-end hotel featuring 2 elegant restaurants, plus 2 bars, a spa & an outdoor pool."
Holidays in Panorama Batumi - Apartment With Sea View,"Batumi, Georgia",Batumi,Georgia,+1 000-555-1073,reservations@holidays-in-panorama-batumi-apartment-with-sea-view.example.com,5,APARTMENT,64,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/527738188.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,Air conditioning|Kid-friendly|Ironing board|Kitchen|Pet-friendly|Smoke-free|Cable TV|Washer,A 5-star vacation rental in Batumi with easy access to the city's top attractions.
Courtyard by Marriott Batumi,"Europe Square, Batumi",Batumi,Georgia,+1 000-555-1074,reservations@courtyard-by-marriott-batumi.example.com,5,HOTEL,197,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEratwKtNQfxdGD2SbhZU-ffdAJCT0Ksp1Xl6Ob4y3Xcf_Vys67x_cTlLnFp2LExsNWRtjm2qrbc0WRv1U8Gx_4UFNgVfCP8K6YvlK4A4L5VodgODBGeok3d_oAYSYUli_ue9yh=s10000,Free Wi-Fi|Free parking|Indoor pool|Air conditioning|Fitness center|Spa|Bar|Restaurant,A 5-star hotel in Batumi with easy access to the city's top attractions.
Hilton Batumi,"Batumi Dolphinarium, Batumi",Batumi,Georgia,+1 000-555-1075,reservations@hilton-batumi.example.com,5,HOTEL,210,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGJAE4IYE8lsHAdbyh863DJoDKmjG6rNSZYU6ibTQPk0O4u9kk5rDtMDdKK0tkPdOKqqdh-U9II8XoG1LpDGA1Sp1ZFMxgpF9jfjXw0YOZdS53pb5hUPYDdK6GobLNjVbeObzzdcx8yb9iN=s10000,Breakfast ($)|Free Wi-Fi|Parking ($)|Indoor pool|Air conditioning|Pet-friendly|Fitness center|Spa,"Sleek quarters in a high-end hotel offering dining & a casino, plus a spa & an indoor pool."
VIP CLASS BATUMI ORBI CITY,"Batumi Boulevard, Batumi",Batumi,Georgia,+1 000-555-1076,reservations@vip-class-batumi-orbi-city.example.com,4,HOTEL,77,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF27SSzVU4if80n7eNElzxtBDf_U83wPHczdEjDMw7mpgvsHnW-uCzgzmMFObMXif2ytj-gcZaI1hbka922oQxYeykQJLKmnPNz2ysRz4NTqoyE2TTzMa4KrwLT38inVvfVENH6=s10000,Breakfast ($)|Free Wi-Fi|Parking ($)|Air conditioning|Fitness center|Spa|Kitchen|Airport shuttle,A 4-star hotel in Batumi with easy access to the city's top attractions.
Batumi Luxury Panoramic Sea View Apartment,"Batumi, Georgia",Batumi,Georgia,+1 000-555-1077,reservations@batumi-luxury-panoramic-sea-view-apartment.example.com,5,APARTMENT,66,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzEniRSbFBmUw3a6z7BG-J0gJMSaqRzJ3JZxUXMb52-NeSurpW4Eck-dzNdlsLN5k7PUFzPsmc3i7hwehap3S_BAcWEbFdN-Nlyy2BmPAZw==.jpg,Air conditioning|Elevator|Heating|Ironing board|Kitchen|Oven stove|Patio|Pet-friendly,A 5-star vacation rental in Batumi with easy access to the city's top attractions.
Black & White Studio Near Beach with Balcony Batumi,"Alexander Kartveli Batumi International Airport (BUS), Batumi",Batumi,Georgia,+1 000-555-1078,reservations@black-white-studio-near-beach-with-balcony-batumi.example.com,5,APARTMENT,75,https://static.cupid.travel/hotels/302765390.jpg,Air conditioning|Airport shuttle|Beach access|Kid-friendly|Crib|Heating|Ironing board|Kitchen,A 5-star vacation rental in Batumi with easy access to the city's top attractions.
Luxury Studio with Ocean View - One-Bedroom Apartment,"Alexander Kartveli Batumi International Airport (BUS), Batumi",Batumi,Georgia,+1 000-555-1079,reservations@luxury-studio-with-ocean-view-one-bedroom-apartment.example.com,5,APARTMENT,47,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/349950906.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,Air conditioning|Kid-friendly|Elevator|Heating|Ironing board|Kitchen|Microwave|Oven stove,A 5-star vacation rental in Batumi with easy access to the city's top attractions.
Grand City Apart-Hotel Batumi,"Batumi Boulevard, Batumi",Batumi,Georgia,+1 000-555-1080,reservations@grand-city-apart-hotel-batumi.example.com,4,HOTEL,63,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6a5czZX8010ojQOGTWYfPzRjLcH_a_CHAfwfY3djkxX8v7ZKX9BwUCgsjZCt79t18KVfpimEvCK81RMQLGJ1Cgz_g1RpD5ggsszNJd8ckAT6UHB2i9mXfZI_h5Za_UHryNz6o7g=s10000,Free Wi-Fi|Free parking|Indoor pool|Air conditioning|Pet-friendly|Fitness center|Beach access|Restaurant,A 4-star hotel in Batumi with easy access to the city's top attractions.
Grand Hyatt Goa,"Goa Dabolim International Airport, Goa",Goa,India,+1 000-555-1081,reservations@grand-hyatt-goa.example.com,5,HOTEL,179,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFup_8BlxleER0iWw_qkqWfk5djiHoh7OMl5-r1YM0tQ1rl2O9JpNsKaSFIBSCxFKehQkxvTRLW0nys2YMstQOUYdQK3d4iywnHXnmBft26rBNCmcLcRO76Qedca6oJ8x8w8HJk=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Pools|Hot tub|Air conditioning|Fitness center|Spa,"Upscale rooms with private terraces, plus 3 restaurants, indoor & outdoor pools, a spa & 2 bars."
Majestic Beach Comforts,"Varca Beach, Goa",Goa,India,+1 000-555-1082,reservations@majestic-beach-comforts.example.com,3,HOTEL,27,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7-WyYCoYjFtsuLH9yKhSp78nXTKGPr5qUV9NO_RYJUPygrBZBnnjOhu9VuRso7_gNl9o-aZp4HKdOGYxiXqo4ylPS0vGvRZneRWthiWsrVOa79HrCrXQenKzKzALjWk_l44cY=s10000,Free breakfast|Free parking|Outdoor pool|Air conditioning|Beach access|Bar|Restaurant|Room service,Straightforward wood cabins on a down-to-earth property offering free breakfast & an outdoor pool.
"The Zuri White Sands, Goa Resort & Casino","Varca Beach, Goa",Goa,India,+1 000-555-1083,reservations@the-zuri-white-sands-goa-resort-casino.example.com,5,HOTEL,65,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEPbVUOe1KxwqSZhPB9hAchPkgUbbSqDEvLAciWITAoM1AeecqoiWLI3r2E8UDemAKBpN77kt0hT58i6iqNkEvEy4S9cI6q-ys2NPhyoDjNCBm-VQd-ID0tPfGU0Ao0lKRh8t94=s10000,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Refined lodging offering stylish quarters & free breakfast, plus dining, a casino & an outdoor pool."
"ITC Grand Goa, a Luxury Collection Resort & Spa, Goa","Majorda Beach, Goa",Goa,India,+1 000-555-1084,reservations@itc-grand-goa-a-luxury-collection-resort-spa-goa.example.com,5,HOTEL,271,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUKGSnwaMDlj3SRS-IpShyKYlzCzhoroKwJnKfe6XlfOY9pBKnDYYmE6o5je-eFkYFKxJiC43fiVqYTSSbZZXsYFfVbd6Q0l0d8AnEERwLa7Dvjegm4I2md_cXGhMBOyi9Z4OlVs1QcSKG=s10000,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Pet-friendly|Fitness center|Spa,"Unfussy quarters in a premium resort with dining, a spa & an outdoor pool, plus direct beach access."
"Holiday Inn Resort Goa, an IHG Hotel","Cavelossim Beach, Goa",Goa,India,+1 000-555-1085,reservations@holiday-inn-resort-goa-an-ihg-hotel.example.com,5,HOTEL,75,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpFu--8rqO-Fqcp12xtVREKb5_hKA72hGHiC_zR8twm-514Egd32tufZs-7aLakAC3FIXZqkuxGHKLMKG7NUy8SQS5xZWKTlnZkWQ6hUMMkA4vQdAaT4hnQeI1AsubPFklW8fK=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Polished resort with 3 restaurants & a bar, plus an Ayurvedic spa, an outdoor pool & beach access."
"Taj Cidade De Goa Heritage, Goa","Dona Paula Beach, Goa",Goa,India,+1 000-555-1086,reservations@taj-cidade-de-goa-heritage-goa.example.com,5,HOTEL,142,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0zYiPIH3PthZ0um8LyTEOc_M3KJ-FZTctr2e8ADZ8GZe5CbZ_6GmJlS3R_FFucEHcFRvs_dPAshI2L42ehrlIwUC_kqDvcUZfTzSZH5l4y-7nQJPr5xq-QIAVtanPSvLABQbg=s10000,Free breakfast|Free Wi-Fi|Parking|Outdoor pool|Hot tub|Air conditioning|Pet-friendly|Fitness center,"Upmarket beach resort with 5 restaurants & 2 bars, plus an outdoor pool & an Ayurvedic spa."
Radisson Blu Resort Goa Cavelossim Beach,"Betul Beach, Goa",Goa,India,+1 000-555-1087,reservations@radisson-blu-resort-goa-cavelossim-beach.example.com,5,HOTEL,122,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEa9BQ05MCLgxLGO6k_eYM3AZm_WvZIc4-dg1fJU4AD4Oa-ol7FwjPpA_s6yvY3VHKJTzCwKvAgyAzQwk0kz8eHip_qrSyXlJpi4CytljPy0UXLY-tG6N5MEdwHXKJqL-SDqZehg29YC97M=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Hot tub|Air conditioning|Fitness center|Spa,"Laid-back property offering airy quarters, plus 3 restaurants, a spa & an outdoor pool."
